分类: 📺央视频道, 名称: CCTV-1, 有效: 5, IPv4: 41, IPv6: 0, 最小延迟: 53 ms, 最高速率: 7.72 M/s, 平均速率: 6.18 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.12, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-2, 有效: 5, IPv4: 36, IPv6: 0, 最小延迟: 135 ms, 最高速率: 8.55 M/s, 平均速率: 6.44 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-3, 有效: 5, IPv4: 37, IPv6: 0, 最小延迟: 120 ms, 最高速率: 7.90 M/s, 平均速率: 5.09 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.29, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-4, 有效: 5, IPv4: 39, IPv6: 0, 最小延迟: 119 ms, 最高速率: 8.13 M/s, 平均速率: 5.91 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-5, 有效: 5, IPv4: 39, IPv6: 0, 最小延迟: 129 ms, 最高速率: 10.47 M/s, 平均速率: 7.25 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.67, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-5+, 有效: 3, IPv4: 33, IPv6: 0, 最小延迟: 316 ms, 最高速率: 9.97 M/s, 平均速率: 7.50 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-6, 有效: 5, IPv4: 38, IPv6: 0, 最小延迟: 140 ms, 最高速率: 7.38 M/s, 平均速率: 5.23 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.67, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-7, 有效: 5, IPv4: 37, IPv6: 0, 最小延迟: 120 ms, 最高速率: 7.68 M/s, 平均速率: 6.24 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.88, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-8, 有效: 5, IPv4: 38, IPv6: 0, 最小延迟: 135 ms, 最高速率: 7.76 M/s, 平均速率: 6.40 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-9, 有效: 5, IPv4: 40, IPv6: 0, 最小延迟: 140 ms, 最高速率: 7.91 M/s, 平均速率: 6.16 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.29, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-10, 有效: 5, IPv4: 39, IPv6: 0, 最小延迟: 123 ms, 最高速率: 7.85 M/s, 平均速率: 7.23 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.50, 视频编解码器: h264, 音频编解码器: aac
